Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,dropout,student_id
18,71,Medium,Low,1,7,85,Low,1,1,Low,Low,Public,Neutral,2,0,High School,Moderate,Male,62,1,476
22,63,High,Low,0,6,63,Low,1,1,Medium,Low,Public,Negative,2,0,Postgraduate,Moderate,Male,62,1,477
16,74,Medium,High,1,7,74,Low,1,4,Low,Low,Private,Positive,3,0,High School,Near,Male,66,1,478
12,65,High,High,1,4,66,Medium,1,0,Medium,High,Public,Neutral,2,0,High School,Near,Female,63,1,479
21,60,Low,High,0,8,99,Low,1,0,Low,Low,Private,Positive,3,0,High School,Near,Male,62,1,480
23,64,Medium,High,1,8,68,Low,1,3,Low,High,Public,Neutral,3,0,High School,Near,Female,66,1,481
13,71,Medium,High,1,6,51,Low,1,4,High,Medium,Public,Positive,4,0,College,Moderate,Female,65,1,482
14,61,Medium,Medium,0,5,82,Low,0,0,Low,Medium,Public,Neutral,0,0,High School,Near,Female,58,1,483
12,75,Medium,High,0,8,54,Low,1,1,Medium,High,Public,Negative,3,0,High School,Near,Female,62,1,484
22,73,High,Medium,1,7,70,Low,0,2,Low,Medium,Public,Positive,3,0,College,Near,Male,66,1,485
4,62,Medium,Medium,0,6,78,High,1,3,High,Medium,Public,Neutral,2,0,High School,Far,Female,58,1,486
22,69,Medium,Medium,1,6,91,Low,1,0,High,High,Private,Neutral,1,1,High School,Moderate,Male,64,1,487
14,67,Medium,Medium,1,9,68,Low,1,1,Low,Medium,Public,Neutral,3,1,High School,Near,Male,60,1,488
14,69,Medium,Low,1,8,79,Medium,1,1,High,Medium,Public,Negative,1,0,Postgraduate,Moderate,Female,62,1,489
15,95,Medium,Medium,1,6,59,Low,1,0,Medium,Medium,Private,Positive,5,0,High School,Far,Female,66,1,490
13,67,Low,Medium,1,8,90,Medium,1,2,Low,Medium,Private,Negative,2,0,High School,Near,Male,61,1,491
16,78,Low,Medium,1,5,50,Medium,1,2,Low,Medium,Private,Positive,2,0,College,Moderate,Male,63,1,492
15,78,High,High,1,10,89,Low,1,0,Medium,Medium,Public,Neutral,3,0,High School,Near,Male,67,1,493
17,84,Low,Low,1,6,71,Low,1,0,Medium,Medium,Private,Negative,4,1,High School,Near,Male,62,1,494
16,62,Low,Medium,0,8,74,Medium,1,2,High,High,Private,Neutral,3,0,High School,Moderate,Male,62,1,495
21,62,High,Low,1,7,58,Medium,1,2,Low,High,Public,Positive,1,0,College,Near,Female,64,1,496
7,88,Medium,High,1,7,64,Low,1,2,Medium,High,Public,Neutral,4,0,Postgraduate,Moderate,Male,66,1,497
13,66,Low,Medium,1,6,69,Low,1,2,Low,Medium,Private,Positive,4,0,High School,Near,Male,61,1,498
20,73,Medium,Medium,0,6,82,Low,1,1,Medium,High,Private,Negative,3,0,College,Near,Male,65,1,499
22,61,Medium,Medium,0,6,84,Low,1,0,Medium,Medium,Public,Positive,2,0,Postgraduate,Near,Male,64,1,500
15,77,Low,Medium,1,8,63,Medium,1,0,Medium,Medium,Public,Neutral,1,0,High School,Near,Female,62,1,501
12,70,Medium,Medium,1,7,93,Medium,1,1,Low,High,Public,Neutral,4,0,High School,Far,Female,62,1,502
16,75,Medium,High,1,7,91,Low,1,2,Low,Low,Public,Positive,5,0,High School,Far,Male,65,1,503
13,62,Medium,Medium,1,8,56,Low,1,1,Low,High,Public,Positive,4,1,High School,Near,Female,60,1,504
13,61,Medium,Medium,1,8,89,Low,1,4,Low,Medium,Private,Neutral,4,0,High School,Far,Female,62,1,505
15,65,Medium,Medium,0,8,53,Medium,1,2,Low,Medium,Public,Negative,3,0,College,Near,Male,61,1,506
12,74,Medium,High,1,8,66,Low,1,1,Low,Medium,Public,Negative,4,0,High School,Near,Female,62,1,507
14,61,Medium,High,0,7,54,Medium,1,3,Low,Medium,Public,Positive,2,1,High School,Near,Female,60,1,508
11,73,Medium,Medium,0,7,67,Medium,0,3,Medium,High,Private,Positive,5,1,Postgraduate,Near,Male,63,1,509
18,75,Medium,Medium,1,7,86,Low,1,1,Low,Medium,Private,Negative,3,0,High School,Near,Male,64,1,510
22,72,High,Medium,1,5,67,Low,1,2,Medium,Medium,Public,Neutral,4,0,College,Near,Female,67,1,511
19,73,Medium,Medium,1,6,64,Low,1,1,High,Medium,Public,Positive,3,0,College,Moderate,Female,65,1,512
20,75,High,Medium,1,7,67,Low,1,1,Low,Medium,Private,Positive,4,0,High School,Near,Female,66,1,513
12,74,High,Medium,0,7,73,Medium,1,1,Low,Medium,Public,Neutral,5,0,High School,Near,Male,64,1,514
7,64,High,High,0,6,81,Medium,1,2,Low,Low,Private,Positive,3,0,Postgraduate,Moderate,Female,62,1,515
17,68,High,Medium,0,9,57,Medium,1,2,Medium,Low,Public,Neutral,3,0,High School,Moderate,Male,63,1,516
14,61,Low,High,0,10,62,Medium,1,0,High,Medium,Public,Negative,4,0,College,Moderate,Female,60,1,517
5,83,Medium,Medium,1,7,61,Medium,1,2,Low,Medium,Public,Negative,4,0,High School,Moderate,Male,61,1,518
21,72,Medium,High,1,9,80,Low,1,1,Medium,Medium,Public,Neutral,3,0,High School,Near,Female,66,1,519
17,87,Medium,Medium,0,8,52,Low,1,1,Medium,Medium,Public,Positive,5,0,College,Near,Male,67,1,520
15,74,Low,High,0,10,99,Low,0,0,Low,Medium,Private,Neutral,3,0,College,Moderate,Male,63,1,521
24,61,Medium,Medium,1,8,88,Low,1,1,Low,Medium,Private,Positive,4,0,High School,Moderate,Female,64,1,522
25,72,Medium,Medium,1,8,52,Low,1,0,Medium,Medium,Private,Positive,2,0,Postgraduate,Near,Male,66,1,523
16,73,Medium,Medium,1,7,74,Low,1,1,Low,High,Public,Positive,3,0,High School,Moderate,Male,64,1,524
17,73,Low,Medium,1,9,68,Low,1,2,Medium,Medium,Public,Positive,3,1,College,Near,Female,63,1,525
18,62,Medium,High,0,6,98,Low,1,3,Medium,Medium,Private,Neutral,1,0,College,Near,Male,65,1,526
19,68,Medium,Medium,1,6,98,Low,1,2,Low,Medium,Public,Positive,1,0,High School,Moderate,Female,64,1,527
21,61,Medium,Low,1,7,93,Low,1,1,Low,High,Private,Negative,5,0,High School,Near,Male,63,1,528
19,65,Medium,Medium,0,9,57,Low,1,1,Medium,Medium,Public,Positive,2,1,High School,Near,Female,61,1,529
9,71,Low,High,1,7,89,Medium,1,0,Low,Medium,Public,Negative,2,0,High School,Near,Male,61,1,530
15,73,Medium,High,0,5,56,Medium,1,1,Medium,Medium,Public,Positive,2,0,Postgraduate,Near,Female,65,1,531
22,61,High,Medium,0,6,77,Low,1,1,Medium,Medium,Public,Positive,4,0,Postgraduate,Moderate,Male,65,1,532
12,62,Medium,Medium,1,9,66,Medium,1,1,Low,Medium,Private,Neutral,2,0,College,Moderate,Female,60,1,533
10,63,Medium,Medium,0,4,80,Medium,1,0,Low,Medium,Public,Positive,3,0,College,Near,Male,60,1,534
14,76,High,Low,0,7,77,Low,0,2,High,Medium,Public,Positive,4,0,College,Near,Male,65,1,535
11,84,High,Medium,0,5,81,Low,1,1,Low,Medium,Private,Negative,3,0,High School,Moderate,Female,64,1,536
17,71,Medium,Low,1,6,99,Low,1,4,Medium,Medium,Public,Positive,3,1,Postgraduate,Near,Male,66,1,537
17,69,High,Medium,1,7,87,Low,1,2,Low,Medium,Public,Neutral,3,0,College,Near,Male,65,1,538
13,67,Medium,High,1,6,88,Medium,1,0,Low,Medium,Public,Neutral,3,0,College,Moderate,Female,63,1,539
15,61,High,Low,1,9,82,Medium,1,2,Medium,High,Public,Positive,2,0,Postgraduate,Near,Male,64,1,540
15,75,High,Medium,0,5,94,Low,0,1,Low,Medium,Public,Negative,3,1,High School,Moderate,Female,62,1,541
16,71,Medium,High,1,6,52,Low,1,0,High,High,Public,Neutral,1,0,High School,Far,Male,62,1,542
7,84,Medium,High,1,7,100,Low,1,3,Low,Medium,Private,Negative,4,1,High School,Moderate,Male,64,1,543
7,66,High,Low,1,8,68,High,1,0,Low,Medium,Public,Negative,2,1,College,Moderate,Male,57,1,544
7,64,Medium,High,0,9,70,High,1,4,Low,Low,Public,Neutral,4,1,High School,Far,Male,59,1,545
4,66,Low,High,0,8,84,Low,1,2,Low,High,Public,Neutral,3,0,Postgraduate,Near,Female,60,1,546
17,72,High,High,1,6,65,Low,1,3,Low,High,Public,Positive,2,0,Postgraduate,Far,Male,67,1,547
17,71,Medium,High,1,7,85,Low,1,2,Low,Low,Private,Negative,2,0,College,Near,Female,65,1,548
7,70,Medium,Medium,1,6,51,Medium,1,0,High,Medium,Private,Neutral,1,0,High School,Moderate,Female,59,1,549
21,60,Medium,Medium,1,6,71,Low,1,0,Medium,Low,Public,Negative,4,1,High School,Far,Male,59,1,550
18,78,High,Medium,1,7,54,Low,0,4,Low,High,Public,Neutral,4,1,College,Moderate,Female,65,1,551
13,65,Medium,High,0,7,75,Low,1,2,Medium,High,Private,Neutral,4,0,High School,Moderate,Male,63,1,552
24,61,Medium,Medium,0,8,54,Medium,1,1,Low,Medium,Public,Neutral,2,1,High School,Moderate,Male,61,1,553
16,64,High,Medium,1,8,70,Low,1,3,High,High,Private,Negative,3,0,High School,Far,Female,63,1,554
15,69,Low,Medium,1,9,52,Medium,1,0,High,Medium,Public,Neutral,3,0,College,Near,Female,61,1,555
26,62,High,Low,1,7,72,Low,1,1,Medium,Medium,Public,Neutral,3,0,College,Moderate,Female,64,1,556
18,61,Medium,Medium,0,6,66,Medium,1,1,Medium,High,Public,Positive,2,0,High School,Moderate,Female,62,1,557
22,67,Low,High,1,8,53,Medium,1,0,Medium,High,Public,Negative,3,0,High School,Far,Male,62,1,558
2,67,Medium,Medium,0,6,73,Low,1,1,Low,Medium,Private,Positive,2,0,College,Moderate,Male,58,1,559
10,76,Medium,Low,0,4,68,Medium,1,1,High,Low,Private,Neutral,6,0,College,Near,Male,63,1,560
19,66,Medium,High,0,7,94,Low,1,1,High,Medium,Public,Positive,4,0,High School,Moderate,Female,65,1,561
16,60,Medium,High,1,8,67,Low,1,0,Low,Medium,Public,Neutral,3,0,High School,Near,Male,61,1,562
17,71,Medium,Low,0,8,57,Medium,1,3,Medium,High,Private,Positive,4,0,High School,Near,Female,64,1,563
14,84,Low,High,0,6,61,Low,1,1,High,Medium,Public,Positive,2,0,College,Far,Male,64,1,564
9,90,High,Medium,1,9,65,Low,1,3,Medium,Medium,Public,Positive,3,0,High School,Near,Female,67,1,565
25,70,Medium,Medium,0,6,71,Low,1,0,Low,Medium,Public,Neutral,2,0,College,Near,Female,65,1,566
23,74,Low,Low,0,9,61,Low,1,0,Medium,Low,Public,Positive,4,0,Postgraduate,Near,Male,64,1,567
13,69,High,High,0,7,73,Low,1,1,Medium,Low,Private,Positive,2,0,High School,Far,Male,62,1,568
20,79,Medium,Medium,1,7,72,Low,0,1,Medium,Medium,Public,Negative,3,0,High School,Near,Male,65,1,569
9,60,Medium,Low,1,6,93,Medium,1,3,Low,High,Private,Neutral,2,0,High School,Moderate,Female,60,1,570
15,67,Medium,Medium,0,8,75,Medium,1,0,High,High,Public,Negative,4,0,Postgraduate,Near,Female,63,1,571
18,86,Low,Low,1,9,64,Low,1,3,Low,High,Public,Positive,3,0,High School,Near,Female,66,1,572
12,70,Medium,Medium,1,6,81,Low,1,1,Low,Medium,Public,Negative,2,1,High School,Far,Male,59,1,573
11,88,Medium,Low,1,7,73,Low,1,1,Medium,Low,Private,Neutral,3,1,College,Near,Female,63,1,574
19,66,Medium,Low,0,7,58,Medium,1,5,Medium,Low,Public,Positive,4,0,College,Moderate,Female,64,1,575
3,83,High,Low,1,7,59,Low,1,2,Medium,High,Public,Positive,5,0,High School,Moderate,Male,63,1,576
9,77,Low,High,1,7,83,Medium,1,1,Low,High,Private,Neutral,4,1,High School,Far,Male,62,1,577
17,90,Medium,Medium,1,8,56,Low,1,0,Medium,Medium,Private,Neutral,4,0,College,Near,Female,67,1,578
5,88,Medium,Medium,0,7,59,Medium,1,3,Low,Medium,Public,Negative,3,0,College,Near,Female,63,1,579
18,64,Low,Medium,1,9,64,Medium,1,4,Low,Medium,Public,Negative,4,1,High School,Near,Male,61,1,580
14,60,Low,Low,1,9,67,Low,1,3,High,High,Public,Positive,3,0,High School,Near,Female,61,1,581
19,79,Medium,High,1,7,66,Low,1,3,High,Medium,Public,Positive,3,1,High School,Near,Male,67,1,582
18,69,Medium,High,1,9,60,Medium,1,3,Low,Medium,Public,Negative,2,0,College,Far,Female,64,1,583
13,61,Low,Low,0,7,73,Low,1,2,High,Medium,Public,Positive,2,0,High School,Near,Female,59,1,584
19,61,Medium,Medium,0,6,67,Low,1,1,Medium,Medium,Public,Positive,1,0,College,Near,Male,62,1,585
21,85,Medium,Medium,0,4,51,Low,1,2,Low,Medium,Public,Neutral,3,0,College,Near,Female,66,1,586
21,68,Medium,Medium,0,9,79,Low,1,1,High,High,Private,Negative,4,0,Postgraduate,Moderate,Female,66,1,587
21,69,High,Medium,1,7,52,Low,1,0,Low,Medium,Public,Negative,3,0,Postgraduate,Near,Male,64,1,588
13,77,Low,Medium,1,6,76,Low,0,1,Medium,Low,Private,Neutral,4,0,College,Moderate,Male,62,1,589
22,67,Low,Medium,0,8,52,Medium,1,1,Medium,Low,Public,Negative,2,1,College,Moderate,Female,60,1,590
8,73,Medium,High,1,10,54,Medium,1,2,Medium,Medium,Public,Positive,3,0,High School,Near,Male,63,1,591
15,67,Medium,Medium,1,7,94,Low,1,0,High,Low,Private,Positive,2,0,Postgraduate,Moderate,Male,63,1,592
23,79,High,High,1,6,54,Low,1,1,Low,Medium,Public,Neutral,1,0,High School,Moderate,Male,67,1,593
12,62,High,High,1,6,63,High,1,0,Low,Medium,Private,Negative,2,0,High School,Near,Male,61,1,594
23,71,Low,Medium,1,8,71,Low,1,1,Low,Low,Public,Neutral,2,0,Postgraduate,Near,Female,64,1,595
13,72,Low,High,1,8,52,Medium,1,3,High,High,Private,Positive,4,0,High School,Near,Male,65,1,596
13,74,High,High,1,7,61,Medium,1,2,Low,Medium,Public,Positive,3,0,High School,Moderate,Male,65,1,597
15,66,Medium,Medium,0,9,63,Medium,1,3,Medium,Medium,Private,Neutral,3,0,High School,Near,Male,63,1,598
16,84,Medium,High,1,8,51,Low,1,0,Medium,Medium,Public,Negative,3,0,Postgraduate,Near,Female,66,1,599
9,75,Medium,Medium,0,7,54,Low,1,2,Low,Medium,Public,Positive,4,0,High School,Near,Female,61,1,600
20,88,Medium,Medium,0,4,54,Low,1,0,High,Low,Public,Negative,4,0,High School,Near,Male,66,1,601
19,87,Low,Medium,0,9,54,Low,1,3,Low,High,Public,Positive,4,0,High School,Moderate,Female,66,1,602
20,61,Low,Medium,0,6,52,Medium,1,2,Low,Low,Private,Negative,2,0,Postgraduate,Near,Male,60,1,603
10,69,Medium,Medium,1,5,65,Low,1,0,Medium,Medium,Private,Positive,3,0,High School,Near,Female,60,1,604
16,65,Medium,Low,0,9,68,Medium,1,1,High,Medium,Public,Neutral,3,0,High School,Moderate,Male,61,1,605
18,65,Medium,High,1,6,60,Low,1,0,Medium,High,Private,Neutral,3,0,High School,Moderate,Female,62,1,606
10,77,High,High,0,7,84,Low,1,2,Low,High,Private,Neutral,1,0,High School,Far,Male,64,1,607
16,87,Low,Medium,1,10,56,Low,1,2,Medium,High,Private,Neutral,0,0,Postgraduate,Moderate,Female,65,1,608
14,92,High,Low,1,9,56,Low,1,1,Medium,Medium,Public,Neutral,4,0,High School,Moderate,Female,66,1,609
15,71,High,High,0,7,100,Low,1,2,Low,Low,Public,Neutral,4,0,High School,Near,Male,66,1,610
11,60,Medium,High,0,7,59,High,1,2,Low,Medium,Public,Positive,1,0,College,Moderate,Male,60,1,611
28,66,Medium,Medium,0,10,52,Low,1,0,Low,High,Public,Positive,3,0,High School,Near,Male,64,1,612
24,70,High,High,0,6,63,Low,0,0,Low,Medium,Public,Neutral,3,0,High School,Near,Male,65,1,613
9,87,Low,Low,0,8,71,Low,0,0,Low,High,Public,Neutral,1,0,College,Moderate,Male,60,1,614
15,81,High,Medium,0,5,68,Low,0,0,Medium,High,Public,Positive,3,0,High School,Near,Female,65,1,615
13,93,Medium,High,0,9,62,Low,1,0,Low,Medium,Private,Neutral,3,0,High School,Moderate,Male,65,1,616
22,61,Medium,Medium,1,5,69,Low,1,2,Low,High,Public,Neutral,2,0,High School,Far,Female,63,1,617
17,82,Medium,High,0,6,65,Low,1,4,Low,Medium,Private,Positive,3,0,High School,Moderate,Female,67,1,618
8,71,High,Medium,1,8,97,Medium,1,3,Medium,Medium,Private,Neutral,1,1,High School,Near,Female,63,1,619
12,65,Low,Medium,1,6,64,Medium,1,1,Medium,Medium,Public,Positive,3,0,College,Near,Female,61,1,620
21,63,Medium,Low,1,7,54,Low,1,1,Medium,Medium,Private,Positive,3,0,College,Moderate,Female,62,1,621
21,74,Low,Low,1,6,70,Low,1,2,Low,High,Public,Positive,3,0,High School,Moderate,Female,64,1,622
9,76,Low,High,0,6,78,Low,0,0,Medium,Medium,Public,Negative,4,1,Postgraduate,Near,Male,60,1,623
22,71,Medium,Medium,0,7,65,Low,1,1,Low,Medium,Public,Neutral,3,0,College,Near,Male,64,1,624
16,76,Medium,Medium,0,7,59,Low,1,0,Low,Medium,Public,Neutral,2,0,College,Near,Female,62,1,625
15,63,High,High,1,9,63,Low,0,4,High,High,Private,Negative,3,0,College,Near,Male,64,1,626
15,91,Low,Medium,0,6,64,Low,1,1,Low,High,Public,Positive,3,1,High School,Near,Male,64,1,627
20,66,Medium,High,1,8,59,Low,1,4,Medium,Medium,Public,Positive,3,0,College,Near,Male,66,1,628
7,69,Low,Medium,1,6,88,Medium,1,0,Low,High,Private,Negative,4,0,Postgraduate,Near,Female,61,1,629
11,61,High,Low,1,6,55,Medium,1,5,High,Low,Public,Neutral,3,0,High School,Far,Male,60,1,630
18,72,Low,Low,1,5,61,Low,1,1,Medium,Medium,Private,Negative,4,0,College,Moderate,Male,61,1,631
5,69,Medium,Medium,1,8,77,Medium,0,2,Low,High,Public,Negative,2,0,College,Near,Female,60,1,632
22,71,Medium,Medium,1,8,60,Low,1,1,Medium,High,Public,Neutral,4,0,High School,Moderate,Female,65,1,633
14,83,Medium,High,1,8,88,Low,1,0,High,Medium,Public,Negative,2,1,High School,Moderate,Male,65,1,634
13,65,Medium,High,0,5,87,Low,1,1,Medium,Medium,Public,Positive,2,1,High School,Moderate,Female,61,1,635
18,66,High,High,0,9,62,Medium,1,2,High,Medium,Public,Neutral,4,0,High School,Moderate,Female,65,1,636
11,88,High,Medium,1,7,56,Low,1,2,Medium,Medium,Public,Neutral,2,0,College,Near,Male,66,1,637
13,70,Medium,High,1,6,66,Medium,1,1,Medium,Medium,Public,Negative,4,0,High School,Near,Male,63,1,638
12,76,Medium,Medium,1,9,50,Medium,1,2,Medium,High,Public,Negative,3,0,College,Near,Male,64,1,639
12,68,High,Low,0,6,52,Low,1,5,High,High,Public,Neutral,3,0,College,Near,Male,63,1,640
23,65,Low,Medium,1,6,81,Low,1,2,Low,Medium,Public,Neutral,2,0,High School,Near,Female,63,1,641
14,72,Medium,High,0,9,53,Medium,1,4,Medium,Medium,Public,Negative,3,0,Postgraduate,Near,Male,65,1,642
20,60,Medium,Medium,1,6,70,Medium,1,2,Low,Medium,Public,Neutral,3,1,Postgraduate,Near,Female,63,1,643
7,62,High,Medium,1,8,51,Low,1,0,Medium,Low,Public,Positive,3,0,College,Moderate,Male,58,1,644
14,65,High,Medium,0,7,63,Medium,1,2,Low,Medium,Public,Neutral,3,0,High School,Moderate,Male,61,1,645
13,81,Medium,High,0,6,53,Low,1,2,Low,Medium,Public,Positive,4,0,High School,Near,Male,65,1,646
12,69,High,Low,0,7,70,Medium,1,1,Medium,Medium,Private,Positive,4,0,High School,Near,Male,62,1,647
13,64,Medium,Low,1,7,50,High,1,0,Medium,Low,Public,Positive,4,0,High School,Near,Male,60,1,648
14,62,Medium,Medium,0,9,73,Medium,1,1,Low,Medium,Public,Neutral,6,0,High School,Near,Male,61,1,649
23,60,High,Medium,1,9,56,Low,0,0,Low,Medium,Private,Negative,4,0,High School,Moderate,Female,61,1,650
16,61,High,Medium,0,4,54,Low,1,1,Low,Medium,Private,Neutral,2,0,High School,Near,Female,60,1,651
27,64,High,Medium,1,6,56,Low,1,0,Low,High,Public,Neutral,5,0,College,Moderate,Female,65,1,652
21,70,High,High,1,8,72,Low,1,3,Medium,Low,Public,Neutral,1,0,Postgraduate,Moderate,Female,67,1,653
17,72,Low,Medium,0,7,94,Low,1,4,Medium,Medium,Public,Positive,2,0,High School,Far,Female,64,1,654
15,65,Medium,High,1,9,93,Low,1,2,Low,Low,Private,Neutral,3,0,College,Near,Male,64,1,655
23,60,Low,Medium,0,7,72,Low,1,3,High,Medium,Public,Neutral,2,0,College,Near,Female,64,1,656
5,95,Medium,High,1,8,92,Low,1,1,Low,High,Private,Neutral,2,0,College,Near,Female,67,1,657
19,65,Medium,High,1,9,60,Low,1,1,Low,Medium,Public,Neutral,3,0,Postgraduate,Moderate,Male,63,1,658
19,65,Low,High,0,9,58,Low,1,3,Medium,Medium,Public,Negative,4,0,High School,Moderate,Female,62,1,659
21,62,Medium,Low,1,7,51,Low,1,0,Low,Medium,Private,Positive,4,0,High School,Near,Female,61,1,660
12,61,Medium,Low,1,7,52,Low,1,2,Low,Medium,Public,Positive,2,0,High School,Moderate,Female,58,1,661
17,64,Low,Medium,0,7,68,Medium,1,5,Medium,Medium,Private,Neutral,3,0,High School,Near,Male,63,1,662
23,66,High,Low,0,6,53,Low,1,2,Medium,Medium,Public,Positive,1,0,College,Far,Male,63,1,663
9,70,High,Medium,1,8,70,Low,1,1,Medium,Medium,Public,Positive,3,0,College,Near,Male,63,1,664
12,97,Medium,High,1,7,57,Low,1,0,Low,Medium,Private,Positive,4,0,College,Moderate,Female,67,1,665
12,67,Medium,High,1,8,77,Medium,1,2,Low,High,Private,Positive,3,0,College,Near,Male,64,1,666
22,62,High,Medium,0,9,51,Medium,1,2,Low,Medium,Public,Neutral,2,0,High School,Near,Male,63,1,667
13,64,Low,Low,0,6,88,Medium,1,1,Medium,Medium,Public,Neutral,2,0,College,Moderate,Female,59,1,668
12,84,Low,Medium,0,7,50,Medium,1,3,High,High,Public,Neutral,3,0,High School,Near,Male,65,1,669
2,99,Medium,Low,1,9,52,Low,1,0,Medium,Medium,Public,Neutral,4,0,High School,Near,Male,62,1,670
12,65,Medium,Low,1,6,86,Medium,1,1,Medium,Medium,Public,Positive,3,0,Postgraduate,Near,Female,62,1,671
20,61,High,High,1,9,54,Medium,1,2,High,Medium,Private,Positive,4,0,Postgraduate,Near,Male,67,1,672
7,61,Low,High,1,4,76,High,1,1,Medium,Medium,Private,Positive,5,0,High School,Far,Female,60,1,673
4,76,Medium,Medium,1,8,90,Medium,1,2,High,Medium,Public,Positive,2,0,High School,Moderate,Female,63,1,674
18,73,Medium,High,1,7,72,Low,1,1,Medium,Medium,Private,Neutral,1,1,High School,Moderate,Male,63,1,675
10,94,Low,Medium,0,9,59,Low,1,0,Medium,Medium,Public,Positive,2,0,Postgraduate,Near,Male,65,1,676
19,69,Medium,Medium,1,7,55,Low,1,1,Low,Medium,Public,Positive,4,0,College,Near,Female,63,1,677
17,60,Medium,Low,0,6,66,Medium,1,0,Low,Medium,Public,Positive,2,0,High School,Far,Female,58,1,678
20,72,Medium,Low,1,6,89,Low,1,1,Low,Medium,Private,Negative,3,0,High School,Far,Male,62,1,679
16,62,Low,Medium,1,8,90,Low,1,2,High,Medium,Public,Neutral,2,0,Postgraduate,Far,Male,62,1,680
20,80,Medium,High,1,7,58,Low,0,0,Medium,Medium,Public,Neutral,2,0,College,Near,Female,65,1,681
17,73,Medium,High,1,6,62,Low,1,2,Low,Medium,Private,Negative,3,0,College,Far,Male,64,1,682
22,63,Medium,Medium,1,7,99,Low,1,3,Medium,Medium,Private,Neutral,4,0,High School,Moderate,Male,65,1,683
17,65,Medium,Medium,1,5,96,Low,1,2,Medium,High,Public,Positive,3,0,College,Moderate,Male,65,1,684
7,60,Medium,High,1,10,69,Low,1,0,Low,Medium,Private,Positive,3,0,College,Moderate,Female,59,1,685
5,84,Medium,Medium,1,7,53,Low,0,1,Low,High,Public,Positive,3,0,Postgraduate,Moderate,Male,62,1,686
9,70,High,Medium,0,8,82,Low,0,2,High,High,Public,Negative,2,0,High School,Near,Female,62,1,687
19,64,High,Low,1,8,86,Low,1,3,High,Medium,Private,Neutral,3,0,Postgraduate,Near,Female,66,1,688
24,60,Low,Medium,1,6,92,Low,1,3,Medium,Medium,Public,Positive,2,0,College,Near,Male,65,1,689
15,61,High,Low,1,9,52,Medium,1,1,Medium,Medium,Private,Neutral,3,0,High School,Moderate,Female,60,1,690
19,70,Medium,Medium,1,6,90,Low,1,2,Low,Medium,Private,Positive,3,0,High School,Moderate,Male,65,1,691
14,67,Low,Low,1,7,66,Low,1,0,Low,Medium,Public,Neutral,4,0,High School,Far,Female,57,1,692
13,64,High,High,1,7,62,Medium,1,1,Low,Medium,Public,Neutral,1,0,College,Moderate,Female,62,1,693
11,65,Medium,Low,1,5,62,Medium,1,2,Medium,High,Public,Neutral,2,0,College,Far,Female,60,1,694
22,70,High,Low,0,10,83,Low,1,0,Medium,Medium,Public,Positive,2,0,College,Moderate,Male,65,1,695
21,71,High,Medium,1,9,55,Low,1,2,High,High,Public,Positive,1,0,Postgraduate,Moderate,Male,67,1,696
12,89,High,Low,1,4,59,Low,1,2,Low,High,Public,Negative,4,0,High School,Near,Male,65,1,697
15,65,Medium,Medium,0,8,62,Medium,1,1,Medium,Medium,Public,Neutral,4,0,High School,Moderate,Female,61,1,698
7,62,Low,High,0,7,90,Medium,1,1,Medium,Low,Public,Neutral,5,0,College,Moderate,Female,60,1,699
12,82,High,Low,0,5,62,Low,1,2,Medium,Medium,Public,Positive,4,0,High School,Near,Male,64,1,700
15,70,Low,Medium,0,8,63,Low,1,0,Medium,Medium,Private,Positive,4,0,High School,Moderate,Female,61,1,701
20,66,High,Low,0,9,72,Low,1,1,Medium,High,Public,Positive,1,0,College,Near,Female,64,1,702
18,71,Medium,Medium,1,7,72,Low,1,0,Low,Medium,Public,Neutral,4,0,High School,Near,Female,63,1,703
24,60,Medium,Medium,1,10,60,Low,1,3,Low,High,Private,Neutral,2,0,Postgraduate,Near,Female,65,1,704
11,64,Medium,Low,1,8,67,High,0,1,Medium,Medium,Public,Neutral,2,1,College,Near,Male,58,1,705
14,71,High,Low,1,6,61,Low,1,0,Low,Medium,Public,Positive,3,0,Postgraduate,Near,Female,63,1,706
15,64,High,Medium,0,9,65,Medium,1,2,Medium,Medium,Public,Neutral,2,0,High School,Near,Male,63,1,707
15,60,Medium,Low,0,9,65,Medium,1,1,Medium,High,Public,Negative,5,0,College,Moderate,Male,60,1,708
21,63,Medium,Medium,1,7,64,Medium,1,0,Low,Medium,Public,Negative,3,0,High School,Near,Female,62,1,709
14,77,Medium,Medium,1,5,60,Low,1,1,High,High,Private,Negative,3,0,Postgraduate,Far,Male,64,1,710
8,95,Medium,Medium,0,7,73,Low,1,2,Medium,Medium,Private,Neutral,2,0,College,Near,Male,66,1,711
15,63,High,Low,1,7,74,Medium,1,4,Low,Medium,Public,Negative,2,0,High School,Moderate,Male,62,1,712
11,67,Medium,Medium,1,6,54,Low,1,0,Low,Medium,Public,Positive,3,0,High School,Near,Female,60,1,713
16,63,Medium,High,1,6,73,Medium,1,0,Medium,Medium,Public,Neutral,4,0,College,Near,Male,63,1,714
